family,stress,level,seed,method,success_rate,distractor_rate,mean_progress,regret,ranking_margin,endpoint_error
B,scale,0.75,2157,total_flow,0.0,1.0,0.03616105838017166,0.8951403347433461,0.15469352833758102,0.027866049788271056
B,scale,0.75,2157,oracle_effect,1.0,0.0,0.9313013931235178,0.0,0.15469352833758102,0.5127291586374333
B,scale,1.0,2160,causal_residual,1.0,0.0,0.9173080368270305,0.014800506556572281,0.15448044528894173,0.5564437924404705
B,scale,1.0,2160,total_flow,0.0,1.0,0.029883358342361797,0.9022251850412412,0.15448044528894173,0.027949550253712277
B,scale,1.0,2160,oracle_effect,1.0,0.0,0.9321085433836028,0.0,0.15448044528894173,0.513973998798791
B,scale,1.25,2162,causal_residual,1.0,0.0,0.9152689800837828,0.014333616897051503,0.15175221285027077,0.680764893028525
B,scale,1.25,2162,total_flow,0.0,1.0,0.0314343959205384,0.8981682010602958,0.15175221285027077,0.028012521497079286
B,scale,1.25,2162,oracle_effect,1.0,0.0,0.9296025969808343,0.0,0.15175221285027077,0.5129437564085124
B,scale,1.5,2165,causal_residual,1.0,0.0,0.9166078239476744,0.01689988175641072,0.15509815045889463,0.806047138829924
B,scale,1.5,2165,total_flow,0.0,1.0,0.03759235953533448,0.8959153461687506,0.15509815045889463,0.02785856207566778
B,scale,1.5,2165,oracle_effect,1.0,0.0,0.9335077057040851,0.0,0.15509815045889463,0.5135865157702592
B,leak,0.0,2650,causal_residual,1.0,0.0,0.9171214332484109,0.015393623891702542,0.15799046581286336,0.5545936821090407
B,leak,0.0,2650,total_flow,0.0,1.0,0.03396414287053073,0.8985509142695826,0.15799046581286336,0.027950645872158064
B,leak,0.0,2650,oracle_effect,1.0,0.0,0.9325150571401134,0.0,0.15799046581286336,0.5116854087938417
B,leak,0.1,2660,causal_residual,1.0,0.0,0.9093751684334366,0.02091200080450011,0.15395494769281007,0.5591560814981185
B,leak,0.1,2660,total_flow,0.0,1.0,0.038202432251342074,0.8920847369865946,0.15395494769281007,0.02774602932421759
B,leak,0.1,2660,oracle_effect,1.0,0.0,0.9302871692379368,0.0,0.15395494769281007,0.5144972932939433
B,leak,0.25,2675,causal_residual,1.0,0.0,0.9114347914775525,0.024404800767687283,0.1568093288650067,0.5645646591806006
B,leak,0.25,2675,total_flow,0.0,1.0,0.03388601017744844,0.9019535820677915,0.1568093288650067,0.027993914231637395
B,leak,0.25,2675,oracle_effect,1.0,0.0,0.9358395922452398,0.0,0.1568093288650067,0.5140374335192465
B,leak,0.5,2700,causal_residual,0.9885714285714285,0.004285714285714286,0.8887723132119794,0.041995906675814154,0.15413155349284605,0.577035494687689
B,leak,0.5,2700,total_flow,0.0,1.0,0.03659795987422459,0.8941702600135688,0.15413155349284605,0.027715240896437815
B,leak,0.5,2700,oracle_effect,1.0,0.0,0.9307682198877935,0.0,0.15413155349284605,0.5129468734256457
B,leak,0.75,2725,causal_residual,0.7,0.08285714285714285,0.6222362403473044,0.30785000952347413,0.1532954341826019,0.5897806652073612
B,leak,0.75,2725,total_flow,0.0,1.0,0.03634482639534439,0.8937414234754342,0.1532954341826019,0.027887370845465397
B,leak,0.75,2725,oracle_effect,1.0,0.0,0.9300862498707786,0.0,0.1532954341826019,0.5110427865372422
B,leak,1.0,2750,causal_residual,0.05857142857142857,0.25857142857142856,0.04860710496965892,0.8817779080062009,0.15269242681611275,0.6058522022974244
B,leak,1.0,2750,total_flow,0.0,1.0,0.03334239157928907,0.8970426213965708,0.15269242681611275,0.027843587705314178
B,leak,1.0,2750,oracle_effect,1.0,0.0,0.9303850129758598,0.0,0.15269242681611275,0.5119608260629166
B,scale,0.25,2202,causal_residual,0.0,1.0,0.03674100265494776,0.8975011523913302,0.15145084673883438,0.1860861154054671
B,scale,0.25,2202,total_flow,0.0,1.0,0.0349265513029913,0.8993156037432867,0.15145084673883438,0.027935206350690304
B,scale,0.25,2202,oracle_effect,1.0,0.0,0.9342421550462782,0.0,0.15145084673883438,0.5133211481108335
B,scale,0.5,2205,causal_residual,0.04,0.96,0.08817790197406662,0.841593178876857,0.15044817127136392,0.30828345679253855
B,scale,0.5,2205,total_flow,0.0,1.0,0.03760687491201801,0.8921642059389056,0.15044817127136392,0.027921070256391765
B,scale,0.5,2205,oracle_effect,1.0,0.0,0.9297710808509235,0.0,0.15044817127136392,0.5131879829736656
B,scale,0.75,2207,causal_residual,0.9492857142857143,0.05071428571428571,0.8790170020177221,0.05239604238890498,0.1504310008596577,0.4316288796043859
